,UDI,Product.ID,Type,Air.temperature..K.,Process.temperature..K.,Rotational.speed..rpm.,Torque..Nm.,Tool.wear..min.
6,6,M14865,M,298.1,308.6,1425,41.9,11
19,19,H29432,H,298.8,309.2,1306,54.5,50
23,23,M14882,M,298.9,309.3,1581,30.7,65
34,34,L47213,L,298.9,309.3,1665,32.5,93
35,35,M14894,M,298.8,309.1,1559,34.7,95
38,38,L47217,L,298.8,309.1,1439,39.2,104
40,40,L47219,L,298.8,309.1,1350,52.5,111
42,42,L47221,L,298.8,309.1,1368,50.8,115
43,43,M14902,M,298.8,309.1,1368,49.1,117
44,44,H29457,H,298.8,309.2,1372,48.5,120
48,48,L47227,L,298.8,309.1,1418,46.3,133
50,50,M14909,M,298.9,309.2,1412,44.1,140
68,68,H29481,H,298.8,308.9,1466,44.1,184
70,70,L47249,L,298.9,309.0,1410,65.7,191
80,80,L47259,L,298.8,308.9,1402,37.9,2
86,86,M14945,M,299.0,309.0,1804,26.8,17
87,87,H29500,H,299.0,309.0,1436,43.9,20
89,89,M14948,M,299.0,309.0,1419,45.2,27
91,91,L47270,L,298.9,308.9,1753,25.8,33
115,115,L47294,L,298.8,308.6,1680,29.4,95
118,118,L47297,L,298.8,308.6,1599,33.0,101
119,119,M14978,M,298.8,308.6,1707,28.1,103
120,120,L47299,L,298.7,308.5,1467,40.7,106
123,123,L47302,L,299.0,308.8,1310,50.7,112
124,124,L47303,L,298.9,308.7,1546,43.4,114
138,138,L47317,L,298.7,308.6,1297,55.3,148
140,140,L47319,L,298.8,308.6,1268,55.8,155
141,141,L47320,L,298.8,308.6,1511,36.1,157
146,146,L47325,L,298.5,308.4,1513,33.6,172
148,148,L47327,L,298.4,308.4,1515,40.1,179
152,152,M15011,M,298.4,308.2,1463,37.6,188
154,154,L47333,L,298.4,308.2,1850,27.0,194
158,158,H29571,H,298.4,308.2,1478,43.5,206
160,160,L47339,L,298.4,308.2,1471,47.0,214
166,166,L47345,L,298.5,308.4,1733,26.0,8
167,167,H29580,H,298.4,308.2,1612,32.6,10
169,169,L47348,L,298.4,308.3,1433,62.3,20
170,170,L47349,L,298.4,308.3,1318,59.1,22
174,174,M15033,M,298.2,308.0,1591,33.7,32
176,176,L47355,L,298.2,308.1,1382,43.5,37
177,177,L47356,L,298.2,308.1,1618,34.7,39
179,179,L47358,L,298.2,308.2,1436,50.2,43
189,189,L47368,L,298.3,308.5,1606,33.6,67
197,197,H29610,H,298.3,308.6,1432,49.5,91
198,198,M15057,M,298.4,308.6,1527,40.9,96
199,199,L47378,L,298.4,308.7,1588,35.0,99
202,202,L47381,L,298.3,308.5,1575,41.2,105
205,205,L47384,L,298.4,308.5,1741,32.8,112
211,211,L47390,L,298.4,308.7,1523,36.1,126
212,212,L47391,L,298.5,308.7,1575,33.9,128
219,219,L47398,L,298.3,308.6,1447,38.1,146
226,226,L47405,L,298.3,308.5,1362,53.8,164
233,233,L47412,L,298.2,308.4,1424,47.6,179
239,239,L47418,L,297.9,308.1,1393,50.3,193
240,240,L47419,L,298.0,308.2,1611,30.6,195
247,247,L47426,L,297.9,308.1,1585,33.5,212
254,254,L47433,L,298.0,308.2,1357,48.2,7
268,268,L47447,L,297.9,308.0,1954,21.1,42
283,283,M15142,M,298.1,308.1,1390,49.8,85
285,285,L47464,L,298.2,308.3,2051,19.2,90
289,289,H29702,H,298.2,308.4,1385,42.2,98
292,292,L47471,L,298.0,308.3,1473,42.6,107
293,293,L47472,L,298.1,308.4,1335,40.2,109
301,301,L47480,L,297.8,308.4,1622,38.3,134
310,310,M15169,M,297.9,308.5,1449,40.8,157
311,311,H29724,H,298.0,308.6,1526,41.8,160
313,313,L47492,L,297.9,308.6,1468,36.0,168
322,322,L47501,L,297.8,308.4,1518,32.5,190
332,332,M15191,M,297.6,308.4,1391,51.9,218
337,337,M15196,M,297.6,308.2,1995,20.5,10
338,338,L47517,L,297.6,308.3,1742,27.7,13
347,347,M15206,M,297.5,308.3,1459,45.2,34
348,348,L47527,L,297.5,308.3,1544,40.8,37
349,349,L47528,L,297.6,308.3,1617,31.7,39
356,356,L47535,L,297.6,308.3,1623,36.9,61
363,363,H29776,H,297.6,308.3,1640,30.9,79
376,376,L47555,L,297.4,308.2,1533,37.4,115
377,377,M15236,M,297.4,308.2,1401,51.9,117
378,378,M15237,M,297.4,308.2,1424,53.9,120
387,387,L47566,L,297.6,308.7,1319,50.9,141
388,388,L47567,L,297.7,308.7,1249,60.4,143
392,392,L47571,L,297.6,308.6,1491,38.1,152
396,396,L47575,L,297.4,308.3,1571,37.7,162
397,397,L47576,L,297.4,308.3,1490,42.6,164
411,411,M15270,M,297.5,308.6,1472,44.9,198
412,412,L47591,L,297.5,308.7,1429,44.3,201
419,419,L47598,L,297.4,308.4,2151,17.7,0
425,425,L47604,L,297.3,308.4,1430,45.7,15
430,430,L47609,L,297.5,308.6,1208,62.3,28
431,431,L47610,L,297.5,308.6,1596,37.1,30
441,441,L47620,L,297.4,308.5,1389,39.2,54
443,443,L47622,L,297.4,308.5,1399,61.5,61
446,446,L47625,L,297.5,308.6,1793,26.7,70
449,449,L47628,L,297.5,308.6,1552,44.9,77
450,450,L47629,L,297.6,308.7,1622,37.9,79
463,463,L47642,L,297.4,308.7,1433,43.4,116
465,465,L47644,L,297.3,308.6,1511,35.7,120
468,468,L47647,L,297.2,308.5,2182,16.5,127
471,471,H29884,H,297.3,308.8,1499,44.2,134
476,476,L47655,L,297.4,309.1,1380,41.1,152
477,477,L47656,L,297.4,309.0,1570,37.9,154
483,483,L47662,L,297.3,309.0,1548,37.4,171
487,487,M15346,M,297.4,309.1,1582,35.9,180
488,488,M15347,M,297.4,309.1,1463,35.0,183
493,493,L47672,L,297.5,309.3,1404,43.5,195
494,494,L47673,L,297.5,309.3,1470,38.8,197
495,495,L47674,L,297.6,309.4,1326,49.8,199
501,501,M15360,M,297.5,309.2,1804,27.4,215
503,503,L47682,L,297.6,309.2,1390,43.3,221
507,507,L47686,L,297.6,309.3,1543,34.3,8
508,508,H29921,H,297.8,309.4,1445,48.2,10
510,510,M15369,M,297.6,309.3,1415,41.3,17
515,515,L47694,L,297.4,309.2,1620,33.2,28
516,516,L47695,L,297.5,309.2,1715,28.0,30
519,519,L47698,L,297.6,309.5,1924,20.6,37
524,524,L47703,L,297.4,309.4,1401,45.9,49
526,526,L47705,L,297.4,309.4,1466,45.5,53
530,530,L47709,L,297.6,309.5,1569,36.2,63
531,531,M15390,M,297.6,309.5,1709,32.2,65
533,533,L47712,L,297.5,309.4,1443,45.4,70
540,540,M15399,M,297.4,309.3,1775,25.8,91
545,545,M15404,M,297.5,309.4,1831,26.6,105
550,550,L47729,L,297.4,309.2,1437,40.4,117
556,556,M15415,M,297.4,309.4,1539,42.2,134
557,557,L47736,L,297.5,309.4,1357,50.1,137
558,558,M15417,M,297.5,309.4,1433,48.3,139
566,566,H29979,H,297.7,309.7,1570,35.8,160
571,571,L47750,L,297.7,309.7,1498,41.0,176
575,575,M15434,M,297.9,310.0,1439,41.7,185
579,579,L47758,L,297.8,309.8,1533,36.8,198
581,581,M15440,M,297.8,309.8,1798,25.5,203
582,582,L47761,L,297.8,309.7,1394,42.9,206
585,585,H29998,H,297.6,309.6,1419,48.2,215
587,587,L47766,L,297.6,309.6,1501,49.8,222
598,598,H30011,H,297.6,309.6,1428,46.6,13
615,615,M15474,M,298.0,309.9,1445,45.2,55
626,626,L47805,L,298.3,310.1,1545,36.3,90
642,642,L47821,L,297.9,309.5,1390,47.9,127
648,648,L47827,L,297.7,309.3,1559,36.9,145
654,654,L47833,L,297.8,309.3,2015,20.1,161
661,661,M15520,M,297.7,309.2,1700,27.4,176
